GeoFIPS,GeoName,Region,ComponentId,ComponentName,Line,Description,2012,2013,2014,2015,2016
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),1,Personal consumption expenditures,35172,35912,37224,38417,39664
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),2, Goods,11887,12109,12447,12555,12741
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),3,  Durable goods,3796,3927,4069,4260,4367
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),4,   Motor vehicles and parts,1260,1316,1387,1471,1488
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),5,   Furnishings and durable household equipment,864,890,924,971,1006
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),6,   Recreational goods and vehicles,1072,1101,1122,1160,1193
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),7,   Other durable goods,599,620,637,658,680
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),8,  Nondurable goods,8091,8182,8377,8294,8375
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),9,   Food and beverages purchased for off-premises consumption,2703,2712,2776,2801,2832
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),10,   Clothing and footwear,1128,1150,1180,1201,1218
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),11,   Gasoline and other energy goods,1328,1303,1249,951,847
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),12,   Other nondurable goods,2932,3017,3172,3341,3477
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),13, Services,23285,23803,24778,25862,26922
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),14,  Household consumption expenditures (for services),22353,22839,23793,24836,25812
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),15,  Housing and utilities,6355,6497,6729,6966,7215
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),16,  Health care,5847,5917,6121,6423,6696
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),17,  Transportation services,1017,1058,1122,1166,1215
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),18,  Recreation services,1337,1373,1420,1468,1525
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),19,  Food services and accommodations,2182,2248,2367,2518,2628
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),20,  Financial services and insurance,2514,2627,2789,2952,3048
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),21,  Other services,3101,3119,3245,3342,3485
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),933,964,984,1027,1111
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),23, Gross output of nonprofit institutions,3799,3889,4001,4173,4368
0,United States,,2,Per capita personal consumption expenditures (PCE) by state (dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,2867,2925,3017,3147,3257
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),1,Personal consumption expenditures,28566,29161,29872,30577,31336
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),2, Goods,11139,11343,11513,11544,11633
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),3,  Durable goods,3381,3487,3585,3745,3842
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),4,   Motor vehicles and parts,1337,1382,1435,1512,1540
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),5,   Furnishings and durable household equipment,712,721,742,783,819
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),6,   Recreational goods and vehicles,820,844,852,881,905
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),7,   Other durable goods,512,539,556,569,578
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),8,  Nondurable goods,7758,7856,7928,7800,7791
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),9,   Food and beverages purchased for off-premises consumption,2462,2474,2473,2489,2530
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),10,   Clothing and footwear,951,967,989,1018,1037
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),11,   Gasoline and other energy goods,1418,1400,1311,990,873
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),12,   Other nondurable goods,2927,3014,3154,3303,3350
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),13, Services,17427,17818,18359,19033,19703
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),14,  Household consumption expenditures (for services),17057,17432,17940,18597,19198
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),15,  Housing and utilities,4613,4765,4894,4986,5158
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),16,  Health care,5076,5106,5235,5483,5631
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),17,  Transportation services,591,601,619,637,656
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),18,  Recreation services,935,946,963,980,1010
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),19,  Food services and accommodations,1679,1722,1793,1905,1989
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),20,  Financial services and insurance,2099,2204,2290,2410,2490
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),21,  Other services,2065,2088,2147,2197,2262
1000,Alabama,5,2,Per capita personal consumption expenditures (PCE) by state (dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),370,386,418,436,506
