GeoFIPS,GeoName,Region,Description,2014,2015,2016
" ""01000"" ",Alabama,5,Implicit regional price deflator,94.9,94.7,95.6
" ""02000"" ",Alaska,8,Implicit regional price deflator,115.9,115.4,116.4
" ""04000"" ",Arizona,6,Implicit regional price deflator,104.6,104.9,106
" ""05000"" ",Arkansas,5,Implicit regional price deflator,94.7,95.3,96
" ""06000"" ",California,8,Implicit regional price deflator,123.9,124.2,126.4
" ""08000"" ",Colorado,7,Implicit regional price deflator,111.1,112.2,113.7
" ""09000"" ",Connecticut,1,Implicit regional price deflator,118.4,118.8,120.1
" ""10000"" ",Delaware,2,Implicit regional price deflator,110.2,109.4,110.7
" ""11000"" ",District of Columbia,2,Implicit regional price deflator,128.9,128.2,128
" ""12000"" ",Florida,5,Implicit regional price deflator,108.3,108.7,110.2
" ""13000"" ",Georgia,5,Implicit regional price deflator,100.3,101.2,101.8
" ""15000"" ",Hawaii,8,Implicit regional price deflator,129,129.9,130.8
" ""16000"" ",Idaho,7,Implicit regional price deflator,102,102.1,102.8
" ""17000"" ",Illinois,3,Implicit regional price deflator,108.2,108.4,109.3
" ""18000"" ",Indiana,3,Implicit regional price deflator,99,99,99.8
" ""19000"" ",Iowa,4,Implicit regional price deflator,98.5,98.8,99.6
" ""20000"" ",Kansas,4,Implicit regional price deflator,99,99,100
" ""21000"" ",Kentucky,5,Implicit regional price deflator,96.2,96.7,96.9
" ""22000"" ",Louisiana,5,Implicit regional price deflator,99.1,98.9,99.8
" ""23000"" ",Maine,1,Implicit regional price deflator,106.8,107.8,108.7
" ""24000"" ",Maryland,2,Implicit regional price deflator,120.1,119.9,120.9
" ""25000"" ",Massachusetts,1,Implicit regional price deflator,116.9,117.2,119.1
" ""26000"" ",Michigan,3,Implicit regional price deflator,102,101.9,103
" ""27000"" ",Minnesota,4,Implicit regional price deflator,106.3,106.4,107.7
" ""28000"" ",Mississippi,5,Implicit regional price deflator,93.9,94,95.4
" ""29000"" ",Missouri,4,Implicit regional price deflator,97.9,97.9,98.8
" ""30000"" ",Montana,7,Implicit regional price deflator,103.2,103.9,104
" ""31000"" ",Nebraska,4,Implicit regional price deflator,98.7,99,99.9
" ""32000"" ",Nevada,8,Implicit regional price deflator,106.3,106.6,107.6
" ""33000"" ",New Hampshire,1,Implicit regional price deflator,115.2,115.3,116.9
" ""34000"" ",New Jersey,2,Implicit regional price deflator,124,123.7,125
" ""35000"" ",New Mexico,6,Implicit regional price deflator,103.2,102.8,103.4
" ""36000"" ",New York,2,Implicit regional price deflator,126.1,126,127.7
" ""37000"" ",North Carolina,5,Implicit regional price deflator,99.6,99.5,100.4
" ""38000"" ",North Dakota,4,Implicit regional price deflator,99.8,101,101.1
" ""39000"" ",Ohio,3,Implicit regional price deflator,97.5,97.7,98.6
" ""40000"" ",Oklahoma,6,Implicit regional price deflator,97.6,98,98.3
" ""41000"" ",Oregon,8,Implicit regional price deflator,107.7,108.1,110.2
" ""42000"" ",Pennsylvania,2,Implicit regional price deflator,107,107.2,108.7
" ""44000"" ",Rhode Island,1,Implicit regional price deflator,108.8,108.7,110
" ""45000"" ",South Carolina,5,Implicit regional price deflator,98.1,98.6,99.8
" ""46000"" ",South Dakota,4,Implicit regional price deflator,95.9,96.5,97.6
" ""47000"" ",Tennessee,5,Implicit regional price deflator,97.8,98.1,99.6
" ""48000"" ",Texas,6,Implicit regional price deflator,105.2,105.8,107.1
" ""49000"" ",Utah,7,Implicit regional price deflator,105.5,105.6,107.5
" ""50000"" ",Vermont,1,Implicit regional price deflator,111.7,111.8,112.3
" ""51000"" ",Virginia,5,Implicit regional price deflator,111.9,112.1,113
" ""53000"" ",Washington,8,Implicit regional price deflator,114.4,114.7,116.6
" ""54000"" ",West Virginia,5,Implicit regional price deflator,96.1,96.9,96.7
" ""55000"" ",Wisconsin,3,Implicit regional price deflator,101.7,101.8,102.5
" ""56000"" ",Wyoming,7,Implicit regional price deflator,105.5,105.4,106.9
Note: See the included footnote file.,,,,,,
IRPD1: Implicit Regional Price Deflator by state,,,,,,
"Last updated: May 17, 2018-- new estimates for 2016; revised estimates for 2014-2015. ",,,,,,
Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Prices Branch,,,,,,
