GeoFIPS,GeoName,Region,Table,LineCode,IndustryClassification,Description,2014,2015,2016
0,United States, ,SA4,10,...,Personal income (thousands of dollars),14811388000,15547661000,15912777000
0,United States, ,SA4,11,...,  Nonfarm personal income 1/,14709098000,15461075000,15845144000
0,United States, ,SA4,12,...,  Farm income 2/,102290000,86586000,67633000
0,United States, ,SA4,20,...,Population (persons) 3/,318563456,320896618,323127513
0,United States, ,SA4,30,...,Per capita personal income (dollars) 4/,46494,48451,49246
0,United States, ,SA4,35,...,  Earnings by place of work,10565119000,11021455000,11304772000
0,United States, ,SA4,36,...,  Less: Contributions for government social insurance 5/,1153416000,1206197000,1243372000
0,United States, ,SA4,37,...,    Employee and self-employed contributions for government social insurance,606372000,635721000,660739000
0,United States, ,SA4,38,...,    Employer contributions for government social insurance,547044000,570476000,582633000
0,United States, ,SA4,42,...,  Plus: Adjustment for residence 6/,3438000,3387000,3264000
0,United States, ,SA4,45,...,  Equals: Net earnings by place of residence,9415141000,9818645000,10064664000
0,United States, ,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",2851897000,3044683000,3079782000
0,United States, ,SA4,47,...,  Plus: Personal current transfer receipts,2544350000,2684333000,2768331000
0,United States, ,SA4,50,...,  Wages and salaries,7469209000,7852755000,8079770000
0,United States, ,SA4,60,...,  Supplements to wages and salaries,1772864000,1842685000,1886437000
0,United States, ,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,1225820000,1272209000,1303804000
0,United States, ,SA4,62,...,    Employer contributions for government social insurance,547044000,570476000,582633000
0,United States, ,SA4,70,...,  Proprietors' income 9/,1323046000,1326015000,1338565000
0,United States, ,SA4,71,...,    Farm proprietors' income,75394000,60885000,39821000
0,United States, ,SA4,72,...,    Nonfarm proprietors' income,1247652000,1265130000,1298744000
0,United States, ,SA4,7010,...,Total employment,186354800,190422800,193668400
0,United States, ,SA4,7020,...,  Wage and salary employment,144841000,147740000,149987000
0,United States, ,SA4,7040,...,  Proprietors employment,41513800,42682800,43681400
1000,Alabama,5,SA4,10,...,Personal income (thousands of dollars),178612937,185484754,189161974
1000,Alabama,5,SA4,11,...,  Nonfarm personal income 1/,176973322,183932085,188215436
1000,Alabama,5,SA4,12,...,  Farm income 2/,1639615,1552669,946538
1000,Alabama,5,SA4,20,...,Population (persons) 3/,4843214,4853875,4863300
1000,Alabama,5,SA4,30,...,Per capita personal income (dollars) 4/,36879,38214,38896
1000,Alabama,5,SA4,35,...,  Earnings by place of work,118444356,122666847,125150213
1000,Alabama,5,SA4,36,...,  Less: Contributions for government social insurance 5/,14085042,14553512,14858297
1000,Alabama,5,SA4,37,...,    Employee and self-employed contributions for government social insurance,7703386,7952051,8207185
1000,Alabama,5,SA4,38,...,    Employer contributions for government social insurance,6381656,6601461,6651112
1000,Alabama,5,SA4,42,...,  Plus: Adjustment for residence 6/,2282178,2244666,2337778
1000,Alabama,5,SA4,45,...,  Equals: Net earnings by place of residence,106641492,110358001,112629694
